nombre	count(i.nombre)
SONDA MONOPOLAR DESECHABLE 3602-00-TE	1
VANAURUS FCO AMP 500MG/10ML	1
TRANSPORE 2' 1527-2	1
BARRA FX PERCUTANEA 54L-60 MISFXRT1060S	1
SEPARADOR MICROCIRUGIA DE COLUMNA (USO)	1
RENTA EQUIPO CATWOL POTENCIALES EVOCADOS	1
DETRUSITOL SR. 4MG. TAB	1
MASCARILLA SUPRAGLOTICA I-GEL#3 IN8203 I	1
LASER HOLMIO 100 WATTS (USO)	1
CIRUGIA MAYOR 5 HRS	1
SONDA ENDOTRAQUEA C/GBO 80 MM 100/199/08	1
TIJERA CORTA CABLES LR-CLP001	1
LEAD EXTRACTION CURVED FEMORAL LR-CSS16	1
ESTUDIO HISTOPATOLOGICO TIPO D	1
TC BIOPSIA DIRIGIDA O DRENAJE	1
EXPANSOR MAMARIO 400CC TE-F3400	1
ESTUDIO TRANSOPERATORIO 7 A 9 ESTUDIOS	1
LACTULAX JBE 10G/15ML FCO 125ML	1
MAQUINA DE ANESTESIA 5 HORAS (USO)	1
SPIOLTO RESPIMAT SOL P/INH 0.226/0.226MG	1
GASES EN SANGRE LAB	1
ADAP Y ESPAC.C/BOQ/MASC. AG-AS7000-US	1
PROLENE 3-0 SH 8832T	1
PWD ECHELON FLX DE 60MM PSE60A	1
TRANSAMINASA SGOT	1
TYLEX TAB 750MG	1
TRIAGE PANEL CARDIACO(CK MB TpnI DD MioB	1
KIT DE ACCESORIOS COPILOT 1003330	1
STEND MEDICA NILE AMPAX013 30X25X24	1
TRESIBA FLEXITOUCH PLUMA 100 UI/ML 3 ML	1
MEDIA TED AL MUSLO CHICA-CORTA 3071LF	1
EQUIPO PARA CATETERISMO VESICAL 2510	1
JERINGA DESECHABLE POSIFLUSH 10ML 306565	1
HOLTER 3 CANALES POR 24 HRS	1
CISTATINA. DETERMINACION	1
NITROGENO UREICO EN ORINA PERIODICA	1
EQUIPO ULTRASONIDO SONOSITE	1
PLAVIX TAB 75MG	1
RESONANCIA MAGNETICA CONTRASTADA 3RA REG	1
FENODID 0.5 MG/10 ML	1
INMUNOHISTOQUIMICA (2 AC)	1
EXTENSION MICROVOLUMEN 152.4CM 536035	1
CEFUROXIMA 750MG/10ML. AMP	1
R M COLUMNA CERVICAL	1
MASCARILLA C/ OLOR 3 1235	1
DESHIDROGENASA LACTICA	1
BUTILHIOSCINA 10 MG. GRAG.	1
HYDRA JAGWIRE 035X450CM RECTA M00556041	1
SIST CERRADO SUCSTERI CATH ADULT610014	1
LORATADINA TAB. 10 MG.	1
DOSIFICACION 1	1
EQUALTHA FCO AMP 100MG	1
PIPTABAC FCO AMP 4G/0.5G	1
INHEPAR SOL. INY. AMP 5000 U/ML 5 ML	1
PERFIL TORCH II (IgM)	1
PROGRAF CAP DE 5 MG	1
KIT MAHURKAR 11.5 FR 9.5 CM 13793009	1
U S DE TRACTO URINARIO (RINONES Y VEJIGA	1
USO DE SALA DE CHOQUE	1
TAPER GUARD EVAC SIZE 8.5 18885	1
RESUCITADOR ADULTO 157100300	1
SABANA TERMICA ADULTO SW2001	1
TEMPRA PED FCO GTS 30ML	1
ESTILETE P/INTUBACION 44 CM 10FR	1
UNIDAD TRANSFUNDIDA DE CE Y ST	1
LEVOFLOXACINO MINIBAG I.V. 750 MG / 150M	1
ESPIROMETRIA SIMPLE	1
PAQ II CIR AMB C PEDIATRICA	1
UXICOLIN AMP. 40 MG/2 ML	1
ELECTRODO E 12 W 12.000 GOLPES	1
PLACA TANDEM 44 MM 3762	1
KIT BLOK EPIDURAL DESECHABLE 16 A1120-16	1
APOSITO ALLEVYN ADHESIVE 12.5X12.5	1
KIT PARA RETIRO DE CATETER	1
CITOLOGIA TIPO 'C'	1
SALA CIRUGIA MENOR	1
MEDIA TED EXTRAGRANDE LARGA AL MUSLO	1
WARMTOUCH (USO)	1
POLVO PREMIUM 28GR 7906	1
FUROSEMIDA TAB 40MG	1
MONOCRYL 1 CT-1 Y341H	1
CATETER INTRAVENOSO 18 4054 LARGO	1
SET CATETER DOBLE J 6FR 26 CM 039626	1
ACIDO FOLICO	1
VITAMINA 'B12'	1
PANTUFLAS GRANDE C/ LOGOTIPO	1
DRENOVAC 1/8' D01	1
DRENOVAC 1/4' D02	1
MOCO FECAL	1
EST ADIC MEDIO DE CONTRASTE GADOLINIO	1
CANULA NASAL 2 MTS	1
CULTIVO FARINGEO	1
INMUNOGLOBULINA E	1
HEXABRIX 320 50 ML H3050/1E	1
ESMOLOL HYDROCHLORIDE 100MG/ML 10ML	1
VELOCIDAD DE CONDUCCION (1 EXT )	1
ENTEROGERMINA SUSP 4 BILLONES AMP 5ML	1
CISTOGRAFIA RETROGRADA	1
CIRUGIA 2 HRS	1
FENODID INY 0.5MG/10ML	1
AVELOX FCO AMP 400MG/250ML	1
TEGADERM PARCHE 1622	1
temgesic amp 0.3mg	1
POLIYODINE ESPUMA 120 ML	1
LOZAM 2MG/ML SOL. INY. AMP	1
COLUMNA TORACICA (DORSAL) 1 PROYECCION	1
SONDA FOLEY 14FR 30CC	1
USO DE ROPA DE ALGODON EN URGENCIAS	1
GUIA HIDROFILICA RF*GA35263M	1
SET INTRODUCTOR MPIS-501-SST	1
ASPIRADOR ULTRASONICO (USO)	1
INTRODUCTOR 4 FR X 10 CM	1
CINTA MINI AZUL DEV-O LOOPS	1
LAPIZ RELIANT BUTTON SWICHT VL2610	1
COPIA DE PLACA (CADA PLACA)	1
FLUROSCOPIA PORTATIL	1
HEXABRIX 320 100 ML H3102/1E	1
COLUMNA CERVICAL 2 PROYECCIONES	1
URETEROSCOPIO FLEXIBLE (USO)	1
GRATEN AMP 2.5MG/2.5ML	1
MULTIFIRE GIA 60-3.8 030678	1
ETHIBOND 2 V-37 MX69G	1
KIT BLOQUEO MIXTO A1908-16/27	1
MONOCRYL VIOLETA 2-0 SH Y317H	1
CONECTOR UNIVERSAL	1
RANISEN CPR 300MG	1
INDAFLEX CREMA TUBO 40G	1
NEPRO-HP BOT 237ML VAINILLA	1
PROLENE 3-0 SH DE A 8522T	1
BRONCHO-VAXON GDO SOB 10 INF	1
SURGICEL FIBRILAR 1962	1
ENDOLOOP VICRYL EJ 10C	1
INT.PERCUT.E.5FX45 C/VALVULA 1224-0545	1
ZEMPLAR CAP. 2mcg	1
CARGO POR HORAS INHABILES	1
SERV URETEROSCOPIA RIGIDA LASER BOSTON	1
ELECTRODO DES DE AGUJA 2.0M 019-475700	1
CAJA LUMBAR TRANFORMINAL A 28u00b0A12 OL2812	1
COTONOIDES CODMAN C/RAYTEX 1/2X3 80-1407	1
TORN BLOQUEO FX CANULADO MISFXSC0000-S	1
GUIA PERCUTANEA	1
INSTRUMENTAL DE ALTA ESPECIALIDAD	1
SET DE COLUMNA ALTA ESPECIALIDAD	1
CHIPS DE 15CC 27615015	1
SET J UNIVERSA SOFT 5FRX24CM USH-524	1
ATENCION EN URGENCIAS B	1
DERMALON 4-0 1756-31 CE-4	1
TENSOPLAST 10 CM 4068	1
ESTILETE LIBERADOR LROFA01	1
LEAD EXTRACTION NEEEYE FEMORAL LR-NES001	1
INMUNOFLUORESCENCIA	1
INDERALICI TAB 10MG	1
CONECTOR UNIVERSAL GL	1
MASCARILLA FACIAL RT040M MED	1
PROLENE C SH 8834T	1
TRANSAMINASA SGPT	1
CATETER DIAGNOSTICO	1
GAMAGLUTAMIL TRANSPEPTIDASA (GGT)	1
KIT CATETER RADIAL ULTIMATE 16FR U16FHPW	1
INSUFLADOR 300 ATM DIGITAL	1
SONDA LEVIN 16FR RADIOPACA TECMED 49904	1
TEGADERM I.V. 8.5 X 10.5 CAT 1635	1
DORMICUM SOL.INY. AMP 5 MG / 5 ML	1
PANTOPRAZOL FCO AMP 40 MG I.V.	1
GADOLINEO	1
TENDRI 50MG / 2 ML	1
HOJA LARING GLIDESCOPE ADULTO #3 S01-09-	1
DIPRIVAN FCO. AMP. 1% 100 ML	1
MUCOSOLVAN AMP 15MG/2ML	1
FLUONING FCO 750MG/150 ML	1
AGUJA ESTERIL DESECHABLE 22 X 32 2570	1
CREATININA EN ORINA AL AZAR	1
COLANGIO	1
ESFINTEROTOMO 3L 20MM M00584150	1
SINERGIX AMP 10MG/25 MG	1
UMECORTIL FCO AMP 500MG	1
JANUVIA 100 MG TAB	1
SUBPOBLACIONES LINFOCITARIAS CD3/CD4/CD8	1
CIRCUITO P/VENT.MEC.ADULTO R	1
ANTI-EPSTEIN BARR	1
GRATEN AMP 10MG/10ML	1
LIBERTRIM CPR 100MG	1
ATENCION EN URGENCIAS D	1
MICRO NEBULIZADOR ADLT C/BOLLA MRC.HOSPI	1
CALORIMETRIA EN CUIDADOS CRITICOS	1
STERIMAR BEBE NASAL SPRAY FCO 50ML	1
ARANESP JGA PRELL 60 MCG/0.3 ML	1
BOLSA P/RECOLECCION ORINA ESTERIL P/NINA	1
SODIO	1
COLDE HOT PACK 1570	1
XUZAL FCO GOT 5mg / 10 ml	1
MONOCRYL VIOLETA 3-0 Y316H	1
LITOTRIPTOR EXTRACORPOREO (USO)	1
MASCARILLA LARIN.DESECH.#3 321300000	1
TC MC DE TORAX DE ALTA RESOLUCION	1
INFUSOR 270 ML 5 ML/HAMB HOMEPUM C	1
HALDOL SOL FCO GTS 2MG/ML 15ML	1
GAMAGRAMA DINAMICO Y ESTATICO	1
DEPO-MEDROL FCO AMP 40MG/ML	1
BOQUILLA 600010 ENDOFLEX	1
AFRIN LUB SPRAY FCO 50MG/100ML 20ML	1
ONEMER TAB 10MG	1
TORAX 2 PROYECCIONES	1
PAPEL SATINADO FOTOGRAFICO EPSON SO-4112	1
TINCIONES ESPECIALES 'C'	1
AMAL 2 MG/ML	1
MONOCRYL*PLUS MCP496G	1
GYNOMUNAL GEL VAGINAL TUBO 50ML.	1
QUADRIDERM NF CREMA TUB 40G	1
ADAPT PASTA 57G.	1
REGULACT JBE. FCO 120 ML	1
VICRYL 1-0 H SH J318H	1
DORMICUM 5MG/5ML	1
USO DE OXIGENO REC	1
ANTI-MITOCONDRIA	1
SONDA FOLEY 2 VIAS 14 FR 5CC 180705140	1
VANNAIR 80/4.5MCG AER. FCO 120	1
MICRONE MASCARILLA PED 2044	1
MOTRIN FCO SUSP INF 2G/100ML 120ML	1
DISP. CIERRE D/HERIDAS BIOSYN 90 3/0 VLO	1
LONOL SOL SPRAY FCO 0.15G/100M 30ML	1
BIOSYN 2-0 75 CM V20 REDONDA/AHUSADA GAS	1
ROTAVIRUS	1
MONITOREO AMBULATORIO DE PRESION ARTERIA	1
STERIMAR SOL 100 ML SPRAY NASA	1
ATRACURIO AMP 25 MG/2.5 ML	1
ENDATAL AMP 20MG/10ML	1
VICRYL 2-0 H SH J317H	1
EXTENSION DE 50 CMS B1450	1
BUVACAINA AMP 50MG/10ML	1
SONDA ENDOTRAQUEA C/GBO. 60 MM 100/199/0	1
TUBO ENSAYE 15X125	1
ESTILETE P/INTUBACION 45CM. 14FR.	1
CIRUGIA MAYOR C/30 MIN ADICIONAL GOB	1
INFUSOR 60 ML 2 ML HOME PUMP	1
MIDAZOLAM amp 15/3ml	1
GEL CUTANEO PROTECTOR EN TOALLA 7917	1
PROLENE 3-0 RB-1 9558T	1
TEMGESIC AMP	1
NAROPIN AMP 7.5MG/ML 20ML	1
MORFINA SOL.INY. AMP 10 MG / 10 ML	1
TUBO CORRUGADO P/INHALOT 2.56MT 1680-256	1
STERI DRAPE 82 X 45 1050	1
PREALBUMINA	1
MEDIA TED GRANDE-LARGA AL MUSLO	1
OBSERVACION CUARTO DE LABOR 4 HRS	1
CATETER DX HIDROFILICO RF*ZW34110M	1
MAX ASPIRATION-PST2-PENUMBRA	1
KRUNAMINA FCO AMP 200MCG/2ML	1
PROTAMINA 1000 AMP 5000UI/5ML	1
BD INSYTE 24GAX075IN (07 MMX19 MM(3/4 ))	1
MASTOGRAFIA UNILATERAL	1
FENODID SOL. INY 0.5MG/10ML	1
MIDAZOLAM 5MG/5ML	1
CIPROXINA FCO AMP 400MG/200ML	1
LASER HO-YAG (USO)	1
LIMP P/ELECTROCAUTERIO RADIOPACO C-3200	1
VOLTAREN AMP 75MG/3ML	1
CEFAXONA FCO AMP 1G IM	1
BUVACAINA PESADA AMP 15 MG/3 ML	1
PISACAINA 2% SIN/EPINE. FCO AMP 50 ML	1
OVESTIN CRA 15 GM. 15G.C/APL.	1
TOBILLO 2 PROYECCIONES	1
VALVULA LOPEZ 011-M9000-S	1
MASCARILLA TRAQUEOSTOMIA ADULTO 1075	1
AMONIO	1
RESTORE PLUS 10 X 10 9953	1
SALA DE RECUPERACION 1/2 HRS ADICIONAL	1
CANULA NASAL P/OXIGENO PED V728	1
KEPPRA SOL FCO 100MG/ML 150ML	1
PICOPREP KIT C/2 SOB VASO DOSIFICADOR	1
CATGUT CROMICO 2-0 CT-1 811T	1
GUANTE ESTERIL 6.2D7260	1
GUIA JAGWIRE 0.025X450CM M00556561	1
INTRODUCTOR RS*R50N10MQ	1
PARATOHORMONA (PTH)	1
STILNOX 10 MG. TBS.	1
SONDA LEVIN 14 FR K-12	1
GUIA SENSOR 038X150CM DF C/5 M0066703121	1
SISTEMA DE IRRIGACION SAPS 720-100	1
ELECTRODO DES DE AGUJA 1.2M 019-476400	1
FRESA P/MIDA REX 14BA50D	1
IOBAN 2 CAMPOS QUIRURGICOS 66X45 6650	1
TORN FRACT CANULADO 6X35 MISFXPS0635-S	1
AXPIREX BMA KIT 04-0060-200	1
USO BIPOLAR VISTA	1
ALMOHADILLA EN DONA HERRADURA PEDIATRICA	1
USO DE CUBICULO DE OBSERVACION 1 HR	1
DERECHO DE SALA Y TIEMPO FLUOROSCOPIA 2	1
ELECTRODO CUCHILLO EXTENDIDO LAR ES04	1
VAINA EVOLUTION N122047 LR-EVN-11.0-RL	1
FP-20 AMP 20MEQ/10ML	1
EUTIROX 100 TAB 100MCG	1
ESTUDIO HISTOPATOLOGICO TIPO G	1
FLEXHD PLIABLE 6X16 HP1616	1
AEROCHAMBER (ESPACIADOR ADULTO C/MASCARI	1
PLIDAN CPTO. TAB 10/125 MG	1
RECORMON 5000U JGA 1 ML	1
PREMIUM SURGICLIP CAT. U134055	1
CARTUC.P/ENGRAP.END.60 MM ECR60B	1
SONDA FOLEY 2 VIAS 12 FR 5 CC 180705120	1
CAPTRAL TAB 25MG	1
RASTRILLO DESECHABLE	1
CUERDA GUIA HIDROFILICA014 X160 CM	1
ANTI-CITOMEGALOVIRUS IgG	1
CAT.VENOSO CENTRAL 2 LUMEN 5 FR PR05052	1
CATETER RADIAL ARTERIAL 20GA RA 04220	1
JABON NEUTRO. PZA. 100 G.	1
NOREPINEFRINA AMP 4 MG.	1
HUMULIN N FCO AMP 100UI/ML 10ML	1
CUARTO PRIVADO CON BANO Y TE	1
ACIDO ACETIL SALICILICO	1
CARGO ADIC DE EST URG DE FIS CARDIOVASCU	1
COLUMNA LUMBOSACRA 2 PROYECCIONES	1
APLICADOR AUTOMATICO DE CLIPS ER-320	1
MAQUINA DE ANESTESIA 3 HORAS (USO)	1
MICARDIS PLUS 80/25MG	1
FENTANEST AMP 0.5MG/10ML	1
ALBUMINA EN ORINA AL AZAR	1
INDOCID SUP 100MG	1
TRANSDUC DE PRESION TRANSTAR MX9505T	1
VIDEOCOLONOSCOPIA	1
DOSIFICACION 5	1
CIRCUITO P/VENT.MEC.ADULTO RT204 18003-4	1
FLEXBUMIN 25% 50ML ALBUMINA HUMANA	1
HEMOSTATICO COMP. 6-9FR MEDIANO DM625	1
PROGRAF CAP DE 1 MG	1
ALBUMINA EN ORINA PERIODICA	1
CIRCUITO AIVENT NORMAL 201 M1161009	1
SET CAT URETERAL DOBLE J 133626 060026	1
HUMALOG SOLINY FCOAMP 100 UI /ML 10 ML	1
SENSOR DE HUMEDAD DESECH 6002	1
PARCHES PARA DESFIBRILADOR DP5	1
TOOTHETTE PLUS BRUSH SUCTION CAT 6577-X	1
FLEBOTEK INFUSOMAT SPACE TRANSFUCION 400	1
BUSCAPINA CPTA TAB 10MG/250MG	1
SONDA ENDOTRAQ ALMA ACERO 65 199065	1
MAQUINA DE ANESTESIA 2 HR (USO) UCE	1
EVACUADOR ELLIK DES 0451	1
BUSCAPINA TAB 10MG	1
PINZA BIOPSIA 160 NEO222B MCA ENDOFLEX	1
AGUA PURIFICADA DE 1500 ML	1
PINZA BIOPSIA 230CM NE0222G MAR ENDOFLEX	1
EQUIPO PARA TOMA DE HEMOCULTIVO	1
VANCOCIN CP FCO AMP 500MG/10ML	1
BAAR TINCION	1
LIBERTRIM SDP SUSP.FCO 30 ML	1
CAPENT POMADA TUB 45G	1
NPLATE FCO AMP	1
GUIA P/SONDA ENDOTRAQUEAL 14FR 85865	1
KEFLEX TAB 500MG	1
VICRYL PLUS VT 2-0 67 CM SH XYVCP317H	1
SUPRADOL AMP 60MG/2 ML	1
ANTI-MUSCULO LISO	1
DOSTEIN SUSP FCO 175MG/5ML 90ML	1
JERINGA PERA DE HULE # 1	1
DENVAR SUSP 100MG/5ML FCO 100ML	1
VICRYL 2.0 MH J323H	1
TEMGESIC TAB SUBL 0.2MG	1
FENODID 0.5 MG 10 ML	1
DOPPLER CAROTIDEO (CUELLO)	1
CAT NEXIVA DOBLE 22GA 1.00IN.383532	1
UXICOLIN AMP 40MG/2ML	1
VICRYL 3.0 MH J322H	1
MEDIA TED A LA RODILLA CAT.MED 7115K	1
AGUJA RAQUIA QUINCKE 22 405181	1
MEROPENEM 1 G. FCO AMP I.V.	1
TAPON HULE 1/0 Y 2/0	1
CATETER DOBLE J OPT. 6FRX26CM 01-787626	1
USO DE MATERIAL DE ASEPSIA Y CURACION GO	1
AGUJA P/BLOQUEO 27 GA 4 11/16 P/WHITACRE	1
CELEBREX CAP 200MG	1
CHLORAPREP 3 ML CAT 260400	1
TACHOSIL ESPONJA 5.5MG/2UI 9.5X4.8CM	1
TEMGESIC 0.3MG	1
BIOVAC 10 MM MD1105	1
IKATIN AMP 80MG/2ML	1
IBUPROFENO 400MG TAB	1
RESONANCIA MAGNETICA SIMPLE 2DA REGION	1
CATETER INTRAVENOSO 16 381257	1
AGUJA 18 GA X 7 CMS AD18T71W	1
NON-STERILE PUMP MAX-PAPS2-PENUMBRA	1
PROLENE 5-0 RB-1 9556T	1
SONDA NELATON ROJA 8 FR 492017	1
INSTILLAGEL JER 2% 25X10ML	1
ESTUDIO HISTOPATOLOGICO TIPO E	1
PEDIALYTE SOL. FCO. 500 ML.	1
GUANTE ORTOPEDICO 7	1
PDS 3-0 Z338	1
U S TESTICULAR	1
CULTIVO ANAEROBIOS	1
INHEPAR FCO AMP 5000UI/ML 10ML	1
CONECTOR P/FRIBROSCOPIO 625191	1
DAKTARIN CREMA TUBO 2/100G 30G.	1
SABRO SUSP. FCO 120 ML	1
PEDIALYTE MANZANA 500 ML	1
AMIKIN FCO AMP 500 MG/2 ML	1
BIO-VAC 10MM MD1105	1
RINELON SPRAY NASAL 10 ML. PED	1
VELOCIDAD SEDIMENTACION GLOBULAR	1
NAVAJA PARA USO GINECOLOGICO	1
LIGA SURE (USO)	1
CATGUT CROMICO 1-0 CT-1 812T	1
CEDILUVIO DESECHABLE 4520	1
ESTILETE P/INTUB7.5-9.5 103006	1
PISACAINA FCO SPRAY 10G/100ML 115ML	1
ADALAT CAP 10MG	1
ANTI-VIH	1
CIRCUITO VENTILACION RT319 CAMARA ADULTO	1
VALMETROL TAB. 400UI	1
JUEGO ROPA DESECHAB. P/GINECOLOGIA	1
SONDA FOLEY DSILVER 18FR5CC2VIAS6051891C	1
GARAMICINA G.U. AMP 160MG/2ML	1
ELECTRODO CUPERFICIALES DES 019-409000	1
SONDA ENDOTRAQ ALMA ACERO 70 199070	1
FUNDAS PARA MICROSCOPIO CARL ZEIZZ	1
TORN FRACT CANULADO 6X45 MISFXPS0645-S	1
MESA PARA COLUMNA (USO)	1
TEMPRA JBE FCO 120ML	1
EQ.VIDEO ALTA DEFINICION C/URETE. FLEXIB	1
USO DE CISTOLASER	1
USO DE CUBICULO CADA HORA ADICIONAL	1
EVOLUTION SHORTIE 11FR LR-EVN-SH-11.0-RL	1
