iddiagnostico	descripcion	codigo_cie9	codigo_cie10
2547	PIELONEFRITIS AGUDA SIN NECROSIS MEDULAR	59010 	NULL
2548	BURSITIS OLECRANON	72633 	NULL
2549	HERIDA NARIZ COMPLICADA	8733  	NULL
2550	HIPOTIROIDISMO ADQUIRIDO YODICO	2442  	NULL
2551	COMPLICACION MECANICA IMPLANTACION CATETER URETRA [PERMANENTE]	99631 	NULL
2552	ESPONDILOPATIA INFLAMATORIA NO ESPECIFICADO	7209  	NULL
2553	ULCERA ESTOMAGO CRONICA SIN HEMORRAGIA NI PERFORACION	5317  	NULL
2554	NEOPLASIA BENIGNA OJO	224   	NULL
2555	EXAMEN ESPECIAL OSTEOPOROSIS	V8281 	NULL
2556	HIPOSPADIA	75261 	NULL
2557	HERIDA MAMA NO COMPLICADA	8790  	NULL
2558	ULCERA GASTROYEYUNAL NO ESPECIFICADO	5349  	NULL
2559	DOLOR ARTICULACION MANO	71944 	NULL
2560	NEOPLASIA EVOLUCION INCIERTA UTERO	2360  	NULL
2561	HIPEROSTOSIS CRANEO	7333  	NULL
2562	EMISION RECETA REPETIDA	V681  	NULL
2563	ENFERMEDAD PELO Y FOLICULO PILOSO OTRA	7048  	NULL
2564	DISCROMIA	7090  	NULL
2565	DISFUNCION TESTICULO OTRA	2578  	NULL
2566	CUIDADO DE SUTURAS Y APÓSITOS QUIRÚRGICOS(FU)	00688 	NULL
2567	LESION NERVIO SENSORIOCUTANEO MIEMBRO SUPERIOR	9555  	NULL
2568	ESGUINCE METATARSOFALANGICO	84512 	NULL
2569	OSTEITIS CONDENSANTE	7335  	NULL
2570	DIPLOPIA	3682  	NULL
2571	POLIDACTILIA DEDO MANO	75501 	NULL
2572	CONCUSION CEREBRO	850   	NULL
2573	QUERATOSIS ACTINICA	7020  	NULL
2574	EFECTO TARDIO CONTUSION	9063  	NULL
2575	EMBARAZO TRIPLE CON PERDIDA Y RETENCION FETO	6514  	NULL
2576	HIPERTROFIA ADENOIDE SOLO	47412 	NULL
2577	DEGENERACION CEREBRO INFANCIA	330   	NULL
2578	HEMATOMA VULVA	6245  	NULL
2579	ENFERMEDAD ORGANO GENITAL MASCULINO OTRA	608   	NULL
2580	POLIARTERITIS NODOSA	4460  	NULL
2581	EFECTO TOXICO ALCOHOL	980   	NULL
2582	ESPONDILOSIS NO ESPECIFICADO CON MIELOPATIA	72191 	NULL
2583	EFECTO TOXICO SILICONA	98983 	NULL
2584	POLIPO NARIZ NO ESPECIFICADO	4719  	NULL
2585	ABORTO NO ESPECIFICADO COMP INFECCION GENITAL Y PELVIS	6370  	NULL
2586	LESION RAIZ NERVIO DORSAL	9531  	NULL
2587	LIPOMA PIEL Y SUBCUTANEO OTRO SITIO	2141  	NULL
2588	NEONATO NACIDO EXCEPCIONALMENTE GRANDE	7660  	NULL
2589	DESNUTRICION PROTEICO CALORICA GRAVE OTRA	262   	NULL
2590	ENFERMEDAD ARTICULACION OTRA Y NO ESPECIFICADO	719   	NULL
2591	CORDON UMBILICAL CORTO	6634  	NULL
2592	SINDROME AMNESICO ALCOHOLICO	2911  	NULL
2593	HERIDA DE PIE, CON LESION TENDINOSA(FU)	8923  	NULL
2594	NEOPLASIA MALIGNA CUERPO PENE	1873  	NULL
2595	PARTO POR CESAREA NO ESPECIFICADO NO ESPECIFICADO	66970 	NULL
2596	CONJUNTIVITIS AGUDA ATOPICA	37205 	NULL
2597	ULCERA CORNEA	3700  	NULL
2598	HEMORRAGIA PREMENOPAUSICA	6270  	NULL
2599	PAPILOMA UROTELIAL	M81201	NULL
2600	ENFERMEDAD ORIGINADA EN PERIODO PERINATAL NO ESPECIFICADO	7799  	NULL
2601	PERDIDA VISION NO ESPECIFICADO	3699  	NULL
2602	LUXACION CERRADA RODILLA OTRA	83659 	NULL
2603	ENFERMEDAD OIDO EXTERNO NO ESPECIFICADO	3809  	NULL
2604	INFECCION POR KLEBSIELLA EN ENF COC Y NO ESPECIFICADO	0413  	NULL
2605	PICADURA INSECTO ANTEBRAZO Y MUÑECA SIN INFECCION	9134  	NULL
2606	EMBARAZO MULTIPLE Y MALPRESENTACION FETO	6526  	NULL
2607	AMENAZA PARTO PREMATURO NO ESPECIFICADO	64400 	NULL
2608	RUIDO INTESTINO ANORMAL	7875  	NULL
2609	DIABETES MELLITUS EMBARAZO	6480  	NULL
2610	NEOPLASIA BENIGNA VULVA	2212  	NULL
2611	CONTRACTURA FASCIA PALMAR	7286  	NULL
2612	QUISTE Y PSEUDOQUISTE PANCREAS	5772  	NULL
2613	BALANITIS XEROTICA OBLITERANTE	60781 	NULL
2614	TRASTORNO METABOLISMO OTRO Y NO ESPECIFICADO	277   	NULL
2615	ENFERMEDAD ESOFAGO OTRA	5308  	NULL
2616	HEPATOMEGALIA	7891  	NULL
2617	ESGUINCE NO ESPECIFICADO	8489  	NULL
2618	TUBERCULOSIS EMBARAZO	6473  	NULL
2619	ENFERMEDAD DE PARKINSON PRIMARIA Y NO ESPECIFICADO	3320  	NULL
2620	LESION NERVIO MIEMBRO INFERIOR Y CINTURA PELVIANA	956   	NULL
2621	INTOXICACION ALCOHOLICA AGUDA	3030  	NULL
2622	SORDERA OTRA	3898  	NULL
2623	AFASIA POR ENFERMEDAD CEREBROVASCULAR	43811 	NULL
2624	COLITIS ULCEROSA PROCTOSIGMOIDITIS	5563  	NULL
2625	INSOMNIO CON APNEA SUEÑO	78051 	NULL
2626	ULCERA ESOFAGO	5302  	NULL
2627	CANDIDIASIS BOCA	1120  	NULL
2628	PERFORACION TIMPANO CENTRAL	38421 	NULL
2629	TRASTORNO COMPORTAMIENTO NCOC	312   	NULL
2630	TRASTORNO COMPORTAMIENTO SOCIALIZADO	3122  	NULL
2631	CRECIMIENTO FETO INSUFICIENTE	6565  	NULL
2632	HERIDA BOCA NO COMPLICADA	8736  	NULL
2633	NEOPLASIA MALIGNA LABIO,BOCA Y FARINGE OTRA	149   	NULL
2634	PARONIQUIA	0546  	NULL
2635	CRECIMIENTO INTRAUTERINO RETARDADO Y DESNUTRICION FETO	764   	NULL
2636	LESION VASO SANGUINEO TORAX	901   	NULL
2637	TRASTORNO BIPOLAR MIXTO MODERADO	29662 	NULL
2638	HERNIA INGUINAL CON GANGRENA	5500  	NULL
2639	PTERIGION CENTRAL	37243 	NULL
2640	COMPLICACION CUIDADO MEDICO NCOC	999   	NULL
2641	HERIDA OIDO EXTERNO COMPLICADA	8721  	NULL
2642	PALPITACION	7851  	NULL
2643	ESGUINCE MUÑECA NO ESPECIFICADO	84200 	NULL
2644	MIOPIA (DEGENERATIVA) ELEVADA PROGRESIVA	36021 	NULL
2645	AGRESION POR OTRO MEDIO	E9688 	NULL
2646	PERFORACION OJO NO ESPECIFICADO	8717  	NULL
2647	ARQUEAMIENTO CONGENITO FEMUR	75442 	NULL
2648	HERIDA REGION DORSAL	876   	NULL
2649	DESVIACION SEXUAL	302   	NULL
2650	ANOMALIA CONGENITA OIDO NO ESPECIFICADO	7443  	NULL
2651	HERIDA PARED ABDOMEN ANTERIOR NO COMPLICADA	8792  	NULL
2652	ENVENENAMIENTO POR PENICILINA	9600  	NULL
2653	DERMATOMIOSITIS	7103  	NULL
2654	GASTRITIS,ENTERITIS Y COLITIS TOXICA	5582  	NULL
2655	GASTRITIS AGUDA SIN HEMORRAGIA	53500 	NULL
2656	HERIDA BOCA COMPLICADA	8737  	NULL
2657	INFECCION POR VIRUS SINCITIAL RESPIRATORIO (RSV)	0796  	NULL
2658	ENFERMEDAD TEJIDO BLANDO OTRA Y NO ESPECIFICADO	7299  	NULL
2659	BRONQUIECTASIA	494   	NULL
2660	PICADURA INSECTO PIE Y DEDO PIE CON INFECCION	9175  	NULL
2661	FIEBRE SUDATORIA	0782  	NULL
2662	OSTEOPOROSIS OTRA	73309 	NULL
2663	HIPERTENSION VENOSA CRONICA (IDIOPATICA)	4593  	NULL
2664	MICOSIS FUNGOIDE	2021  	NULL
2665	ESOFAGITIS AGUDA	53012 	NULL
2666	TRAUMATISMO DEDO MANO OTRO Y NO ESPECIFICADO	9595  	NULL
2667	DEFORMIDAD RODILLA ADQUIRIDA OTRA	7366  	NULL
2668	PICADURA INSECTO TRONCO SIN INFECCION	9114  	NULL
2669	ANGINA POR ESTREPTOCOCO	0340  	NULL
2670	CONDICION HEMORRAGICA OTRA	2878  	NULL
2671	SEPTICEMIA POR GRAMNEGATIVO	0384  	NULL
2672	LESION NERVIO MIEMBRO SUPERIOR Y CINTURA ESCAPULAR MULTIPLE	9558  	NULL
2673	VACCINIA Y PARAVACCINIA	051   	NULL
2674	LEUCEMIA MIELOIDE OTRA	2058  	NULL
2675	CONVALECENCIA TRAS INTERVENCION QUIRURGICA	V660  	NULL
2676	HTLV-III/LAV INFECT CAUSE OTH CONDITIONS(FU)	043   	NULL
2677	OBSTRUCCION POR ESTATICA DEFECTUOSA FETO NO ESPECIFICADO	66000 	NULL
2678	HERIDA CODO,ANTEBRAZO Y MUÑECA CON AFECTACION TENDON	8812  	NULL
2679	ENFERMEDAD ARTICULACION TEMPOROMANDIBULAR	5246  	NULL
2680	ESGUINCE RADIOCARPIANO	84202 	NULL
2681	DERMATOFITOSIS UÑA	1101  	NULL
2682	CONTUSION MANO SALVO DEDO	92320 	NULL
2683	ANISOMETROPIA Y ANISEICONIA	3673  	NULL
2684	CONTUSION MUSLO	92400 	NULL
2685	ENFERMEDAD VENEREA EMBARAZO OTRA PARTO Y POSTPARTO	64722 	NULL
2686	NEOPLASIA MALIGNA LABIO INFERIOR BORDE EXTERNO	1401  	NULL
2687	CONTROL DE PRIMER EMBARAZO NORMAL(FU)	00361 	NULL
2688	EROSION DENTAL	5213  	NULL
2689	INFECCION POR MYCOPLASMA EN ENF COC Y NO ESPECIFICADO	04181 	NULL
2690	MUERTE REPENTINA CAUSA DESCONOCIDA	798   	NULL
2691	SINUSITIS AGUDA ESFENOIDAL	4613  	NULL
2692	ENTESOPATIA TOBILLO OTRA	72679 	NULL
2693	ASTILLA HOMBRO Y BRAZO SIN INFECCION	9126  	NULL
2694	ANOMALIA CONGENITA APARATO MUSCULOESQUELETICO OTRA Y NO ESPECIFICADO	7569  	NULL
2695	ENFERMEDAD INFECCIOSA Y PARASITARIA EMBARAZO OTRA	6478  	NULL
2696	SHOCK SIN TRAUMATISMO	7855  	NULL
2697	RINITIS ALERGICA DEBIDA A OTRO ALERGENO	4778  	NULL
2698	VIRUELA NO ESPECIFICADO	0509  	NULL
2699	LEUCEMIA MIELOIDE AGUDA EN REMISION	20501 	NULL
2700	DERMATOFITOSIS CUERPO	1105  	NULL
2701	OTITIS MEDIA POSTSARAMPION	0552  	NULL
2702	HERNIA DIAFRAGMATICA CON OBSTRUCCION	5523  	NULL
2703	ENCEFALITIS POR VIRUS POR GARRAPATA NO ESPECIFICADO	0639  	NULL
2704	HERIDA REGION GLUTEA COMPLICADA	8771  	NULL
2705	NEOPLASIA BENIGNA GLANDULA SALIVAL MAYOR	2102  	NULL
2706	DERMATITIS HERPETIFORME	6940  	NULL
2707	DEDO EN RESORTE (ADQUIRIDO)	72703 	NULL
2708	SIFILIS EMBARAZO	6470  	NULL
2709	FRACTURA BASE CRANEO	801   	NULL
2710	ESCLEROSIS LATERAL AMIOTROFICA	33520 	NULL
2711	MICOSIS OTRA	117   	NULL
2712	FRACTURA CERRADA FEMUR DIAFISIS	82101 	NULL
2713	ABSCESO HIGADO Y SECUELA HEPATOPATIA CRONICA	572   	NULL
2714	TROMBOFLEBITIS OTRA	4518  	NULL
2715	ABORTO LEGAL INDUCIDO COMP HEMORRAGIA EXCESIVA	6351  	NULL
2716	CUERPO EXTRAÑO UTERO	9391  	NULL
2717	GASTROPTOSIS	5375  	NULL
2718	ACCIDENTE POR PROYECTIL ARMA FUEGO	E922  	NULL
2719	NEUROFIBROMATOSIS	2377  	NULL
2720	FRACTURA ABIERTA HUMERO SUPRACONDILEA	81251 	NULL
2721	HERIDA RODILLA,PIERNA Y TOBILLO CON AFECTACION TENDON	8912  	NULL
2722	ESTADO AMPUTACION MIEMBRO INFERIOR NO ESPECIFICADO	V4970 	NULL
2723	DOLOR ARTICULACION CADERA	71945 	NULL
2724	GLOMERULONEFRITIS AGUDA CON LESION PROLIFERATIVA	5800  	NULL
2725	LEPRA	030   	NULL
2726	SIALOADENITIS	5272  	NULL
2727	SINUSITIS AGUDA OTRA	4618  	NULL
2728	DESNUTRICION PROTEICO CALORICA OTRA	263   	NULL
2729	DISTOCIA HOMBRO	6604  	NULL
2730	FORMACION TEJIDO DURO ANORMAL EN PULPA DENTAL	5223  	NULL
2731	BRONQUITIS CRONICA OTRA	4918  	NULL
2732	HIPERTROFIA BENIGNA PROSTATA	6000  	NULL
2733	MAL DE PINTO	103   	NULL
2734	LINFADENITIS NO ESPECIFICADO	2893  	NULL
2735	HIPOTENSION NO ESPECIFICADO	4589  	NULL
2736	FIEBRE ESTREPTOBACILAR	0261  	NULL
2737	NECESIDAD VACUNACION INFECCION POR BACTERIA UNICA	V03   	NULL
2738	TEMBLOR ESENCIAL Y OTRO	3331  	NULL
2739	ENFERMEDAD COCCIX	7247  	NULL
2740	LORDOSIS ADQUIRIDA	7372  	NULL
2741	HIPERTENSION SECUNDARIA NO ESPECIFICADO	4059  	NULL
2742	ENFERMEDAD CARDIACA CIFOESCOLIOTICA	4161  	NULL
2743	SINOVITIS Y TENOSINOVITIS NO ESPECIFICADO	72700 	NULL
2744	ANEURISMA AORTA TORACICA CON ROTURA	4411  	NULL
2745	DE OTRO SITIO ESPECIFICADO(FU)	6828  	NULL
2746	QUEMADURA SEGUNDO GRADO MIEMBRO SUPERIOR SALVO MANO	9432  	NULL
2747	EMBOLIA Y TROMBOSIS ARTERIAL	444   	NULL
2748	LUXACION CERRADA VERTEBRA LUMBAR	83921 	NULL
2749	GRANULOMA CENTRAL CELULA GIGANTE	5263  	NULL
2750	HEMORRAGIA CONJUNTIVA	37272 	NULL
2751	QUEMADURA SEGUNDO GRADO PARED TORAX	94222 	NULL
2752	AMENAZA ABORTO PARTO Y ANTEPARTO	64001 	NULL
2753	INFECCION POR LEISHMANIA NO ESPECIFICADO	0859  	NULL
2754	ENDOCARDITIS AGUDA Y SUBAGUDA NO ESPECIFICADO	4219  	NULL
2755	TRASTORNO COMPORTAMIENTO INFRASOCIALIZADO AGRESIVO	3120  	NULL
2756	SINUSITIS CRONICA ESFENOIDAL	4733  	NULL
2757	HERIDA CODO,ANTEBRAZO O MUÑECA NO COMPLICADA	8810  	NULL
2758	FORUNCULO Y ANTRAX PIERNA SALVO PIE	6806  	NULL
2759	SINDROME CEREBRAL ORGANICO (CRONICO) OTRO	2948  	NULL
2760	DOLOR ARTICULACION HOMBRO	71941 	NULL
2761	ANQUILOGLOSIA	7500  	NULL
2762	CONTUSION HOMBRO	92300 	NULL
2763	HERIDA HOMBRO Y BRAZO	880   	NULL
2764	ESGUINCE CORACOHUMERAL	8402  	NULL
2765	CONTUSION OJO NO ESPECIFICADO	9219  	NULL
2766	SINDROME ENFRIAMENTO NEONATO	7782  	NULL
2767	COMPLICACION MECANICA IMPLANTACION O INJERTO GENITOURINARIO	9963  	NULL
2768	RUBEOLA	056   	NULL
2769	TOS FERINA POR BORDETELLA PERTUSSIS	0330  	NULL
2770	NECROSIS ADIPOSA MAMA	6113  	NULL
2771	LESION NO ALOPATICA CAJA TORAX	7398  	NULL
2772	TIFUS EPIDEMICO POR PIOJO	080   	NULL
2773	EFECTO TARDIO HERIDA CABEZA,CUELLO Y TRONCO	9060  	NULL
2774	ENFERMEDAD VULVA Y PERINEO NO INFLAMATORIA OTRA	6248  	NULL
2775	LESION VASO SANGUINEO TIBIAL	9045  	NULL
2776	VISION BAJA DOS OJOS	3692  	NULL
2777	HERIDA PARPADO GROSOR COMPLETO	8701  	NULL
2778	ESTENOSIS PUNTO LAGRIMAL	37552 	NULL
2779	CATARATA SENIL OTRA O COMBINADA	36619 	NULL
2780	ERITEMA MULTIFORME	6951  	NULL
2781	LESION NERVIO NERVIO CRANEAL OTRO	951   	NULL
2782	ENFERMEDAD CONJUNTIVA NO ESPECIFICADO	3729  	NULL
2783	HERIDA RODILLA,PIERNA Y TOBILLO NO COMPLICADA	8910  	NULL
2784	ERITEMA PAÑAL	6910  	NULL
2785	CONTUSION ORGANO GENITAL	9224  	NULL
2786	INTOXICACION ALCOHOLICA AGUDA NO ESPECIFICADO	30300 	NULL
2787	ESGUINCE SACROESPINOSO	8462  	NULL
2788	SINDROME FATIGA CRONICA	78071 	NULL
2789	NERVIOSISMO	7992  	NULL
2790	ESTENOSIS VALVULA AORTICA CONGENITA	7463  	NULL
2791	ENFERMEDAD TIMO	254   	NULL
2792	CONTRACTURA ARTICULACION TOBILLO Y PIE	71847 	NULL
2793	FETO Y NEONATO AFECTADO POR COMPLICACION MATERNA EMBARAZO	761   	NULL
2794	FRACTURA CERRADA METACARPIANO NO ESPECIFICADO	81500 	NULL
2795	ATROFIA PAPILA LENGUA	5294  	NULL
2796	VAGINITIS ATROFICA POSTMENOPAUSICA	6273  	NULL
2797	QUEMADURA OJO Y ANEXO	940   	NULL
2798	QUEMADURA PRIMER GRADO MIEMBRO SUPERIOR SALVO MANO	9431  	NULL
2799	TRAUMATISMO ORGANO INTRATORACICO CERRADO OTRO	8622  	NULL
2800	DISFUNCION GLANDULA TIROIDES EMBARAZO	6481  	NULL
2801	ENFERMEDAD PULPA Y TEJIDO PERIAPICAL	522   	NULL
2802	APLASTAMIENTO MUÑECA Y MANO SALVO DEDO	9272  	NULL
2803	OSTEOARTROSIS LOCALIZADA PRIMARIA MUÑECA	71513 	NULL
2804	ANEURISMA AORTA NO ESPECIFICADO SIN ROTURA	4419  	NULL
2805	GASTROPARESIA	5363  	NULL
2806	PLEURESIA	511   	NULL
2807	ENFERMEDAD CARDIORRENAL HIPERTENSIVA	404   	NULL
2808	NEOPLASIA BENIGNA PIEL OIDO Y CONDUCTO AUDITIVO EXTERNO	2162  	NULL
2809	ENFERMEDAD CEREBRO OTRA	348   	NULL
2810	HIPERTROFIA LABIO VULVA	6243  	NULL
2811	TRASTORNO AFECTIVO PERSONALIDAD	3011  	NULL
2812	ESTADO ASOCIADO CON MENOPAUSIA ARTIFICIAL SINTOMATICO	6274  	NULL
2813	TRASTORNO BIPOLAR MIXTO GRAVE CON PSICOSIS	29664 	NULL
2814	ANOREXIA NERVIOSA	3071  	NULL
2815	CARCINOMA IN SITU OJO	2340  	NULL
2816	QUERATOCONJUNTIVITIS CIERTO TIPO	3703  	NULL
2817	CONGESTION MAMA ASOCIADA PARTO	6762  	NULL
2818	HISTERIA	3001  	NULL
2819	NEOPLASIA BENIGNA AMIGDALA	2105  	NULL
2820	HEMIPLEJIA Y HEMIPARESIA POR ENFERMEDAD CEREBROVASCULAR	4382  	NULL
2821	FETO Y NEONATO AFECTADO POR HIPERTENSION MATERNA	7600  	NULL
2822	TRANSPOSICION GRANDES VASOS	7451  	NULL
2823	PICADURA INSECTO MIEMBRO INFERIOR SALVO PIE CON INFECCION	9165  	NULL
2824	ESTADO DIAPOSITIVO CORAZON IN SITU	V450  	NULL
2825	INFECCION POR AMEBA NO ESPECIFICADO	0069  	NULL
2826	ESGUINCE MANDIBULA	8481  	NULL
2827	CONJUNTIVITIS OTRA	37239 	NULL
2828	NEUROFIBROMA MALANOTICO	M95410	NULL
2829	SINUSITIS AGUDA NO ESPECIFICADO	4619  	NULL
2830	TRASTORNO ESQUIZOIDE PERSONALIDAD	3012  	NULL
2831	NEOPLASIA EVOLUCION INCIERTA LABIO,BOCA Y FARINGE	2351  	NULL
2832	MIOSITIS INFECCIOSA	7280  	NULL
2833	REACCION ADVERSA ALIMENTO OTRA	9957  	NULL
2834	ENFERMEDAD NERVIO MEDIANO OTRA	3541  	NULL
2835	FACTOR PSIQUICO EN ENF COC	316   	NULL
2836	ABRASION MANO SALVO DEDO SIN INFECCION	9140  	NULL
2837	INTOXICACION ALIMENTARIA POR BACTERIA OTRA NO ESPECIFICADO	00589 	NULL
2838	QUISTE ORBITA	37681 	NULL
2839	SINDROME DE MALLORY-WEISS	5307  	NULL
2840	CANDIDIASIS PULMON	1124  	NULL
2841	RIÑON SUSTITUIDO POR TRASPLANTE	V420  	NULL
2842	DIVERTICULITIS COLON CON HEMORRAGIA	56213 	NULL
2843	INFECCION POR PROTESIS ARTICULACION INTERNA	99666 	NULL
2844	DERMATITIS POR ALIMENTO CONTACTO CON PIEL	6925  	NULL
2845	ENFERMEDAD ESPALDA OTRO Y NO ESPECIFICADO	724   	NULL
2846	ESGUINCE RADIOHUMERAL	8412  	NULL
2847	DERMATITIS ATOPICA OTRA	6918  	NULL
2848	HALLAZGO ANORMAL EXAMEN RADIOLOGICO TRACTO GASTROINTESTINAL	7934  	NULL
2849	DESPRENDIMIENTO RETINA NO ESPECIFICADO	3619  	NULL
2850	OSTEOMIELITIS AGUDA	7300  	NULL
2851	ESCOLIOSIS TORACOGENICA	73734 	NULL
2852	HERIDA CODO NO COMPLICADA	88100 	NULL
2853	ASISTENCIA PROCREATIVA	V26   	NULL
2854	OSTEOSARCOMA CONDROBLASTICO	M91813	NULL
2855	ROTURA TENDON NO TRAUMATICA NO ESPECIFICADO	72760 	NULL
2856	CONTUSION TOBILLO	92421 	NULL
2857	TENSION PREMENSTRUAL	6254  	NULL
2858	TRAUMATISMO MANO SALVO DEDO OTRO Y NO ESPECIFICADO	9594  	NULL
2859	TRAUMATISMO ARTICULACION PELVIS PARTO	6656  	NULL
2860	TROMBOFLEBITIS MIEMBRO INFERIOR NO ESPECIFICADO	4512  	NULL
2861	BOCIO NODULAR TOXICO NO ESPECIFICADO	2423  	NULL
2862	EFECTO FRIO	991   	NULL
2863	SINTOMA APARATO RESPIRATORIO Y TORAX OTRO	7869  	NULL
2864	ESGUINCE CADERA Y MUSLO OTRO	8438  	NULL
2865	ESPASMO MUSCULO	72885 	NULL
2866	QUEMADURA PRIMER GRADO MIEMBRO INFERIOR	9451  	NULL
2867	CONTRACTURA ARTICULACION CADERA	71845 	NULL
2868	ENFERMEDAD LABIO	5285  	NULL
2869	EFECTO TARDIO FRACTURA MIEMBRO SUPERIOR	9052  	NULL
2870	INFLAMACION PARPADO	373   	NULL
2871	MOVIMIENTO INVOLUNTARIO ANORMAL	7810  	NULL
2872	INFECCION POR VIRUS OTRA	07889 	NULL
2873	CONTUSION MUÑECA	92321 	NULL
2874	PAPERAS	072   	NULL
2875	CARENCIA VITAMINA A	264   	NULL
2876	INCONTINENCIA CERVIX	6225  	NULL
2877	TRASTORNO METABOLISMO PROTEINA	273   	NULL
2878	NEOPLASIA BENIGNA NERVIO CRANEAL	2251  	NULL
2879	CEGUERA PROFUNDA OJO PEOR,VISION BAJA OJO MEJOR	3691  	NULL
2880	SINTOMA APARATO CARDIOVASCULAR	785   	NULL
2881	ANEURISMA ARTERIA CUELLO	44281 	NULL
2882	SINDROME POSTCONMOCION CEREBRAL	3102  	NULL
2883	VALVULOPATIA TRICUSPIDE NO REUMATICA	4242  	NULL
2884	DERMATOFITOSIS PIE	1104  	NULL
2885	SUPERVISION EMBARAZO ALTO RIESGO OTRO	V238  	NULL
2886	CONTUSION NO ESPECIFICADO	9249  	NULL
2887	AHOGAMIENTO Y SUMERSION NO FATAL	9941  	NULL
2888	CONJUNTIVITIS Y DACRIOCISTITIS NEONATO	7716  	NULL
2889	MIELOPATIA OTRA	3368  	NULL
2890	ENDOMETRIOSIS CICATRIZ PIEL	6176  	NULL
2891	ARTERITIS NO ESPECIFICADO	4476  	NULL
2892	ENFERMEDAD CARDIORRENAL HIPERTENSIVA BENIGNA	4041  	NULL
2893	TRASTORNO MIXTO COMPORTAMIENTO Y EMOCION	3124  	NULL
2894	ESGUINCE OTRO Y NO ESPECIFICADO	848   	NULL
2895	ENFERMEDAD NERVIO CRANEAL OTRA	352   	NULL
2896	ESGUINCE MUÑECA OTRO	84209 	NULL
2897	TENDINITIS TIBIA	72672 	NULL
2898	SINTOMA MAMA OTRO	61179 	NULL
2899	RESULTADO ANORMAL GLUCOSA EN AYUNAS	79021 	NULL
2900	COMPLICACION EMBARAZO OTRA NO ESPECIFICADO	64680 	NULL
2901	HERIDA MIEMBRO INFERIOR MULTIPLE Y NO ESPECIFICADO NO COMPLICADA	8940  	NULL
2902	INFECCION POR VIRUS COXSACKIE EN MANO,PIE Y BOCA	0743  	NULL
2903	ECTASIA CORNEA	37171 	NULL
2904	PICADURA INSECTO DEDO MANO CON INFECCION	9155  	NULL
2905	HEMATOMETRA	6214  	NULL
2906	NEOPLASIA MALIGNA SUELO BOCA PORCION LATERAL	1441  	NULL
2907	CICATRIZ Y FIBROSIS PIEL	7092  	NULL
2908	SINDROME ASPIRACION MECONIO	7701  	NULL
2909	EFECTO TARDIO ENVENENAMIENTO DROGA Y MEDICAMENTO	9090  	NULL
2910	GLOMERULONEFRITIS CRONICA	582   	NULL
2911	ESCLERODERMA CIRCUNSCRITA	7010  	NULL
2912	TRASTORNO METABOLISMO PORFIRINA	2771  	NULL
2913	ENFERMEDAD COROIDES OTRO	363   	NULL
2914	HEMORRAGIA GARGANTA	7848  	NULL
2915	PARTO OBSTRUIDO OTRA CAUSA	6608  	NULL
2916	INFECCION POR RICKETTSIA NO ESPECIFICADO	0839  	NULL
2917	NACIDO VIVO PARTO UNICO EN HOSPITAL CON CESAREA	V3001 	NULL
2918	DEMENCIA PRESENIL	2901  	NULL
2919	HEMORRAGIA POSTPARTO	666   	NULL
2920	ENFERMEDAD INTESTINO OTRA	569   	NULL
2921	ENCEFALITIS POR VIRUS POR MOSQUITO	062   	NULL
2922	ENFERMEDAD GLANDULA TIROIDES NO ESPECIFICADO	2469  	NULL
2923	SUBLUXACION CONGENITA CADERA UNILATERAL	75432 	NULL
2924	OTOSCLEROSIS COCLEAR	3872  	NULL
2925	PERDIDA ANORMAL PESO	78321 	NULL
2926	TENOSINOVITIS PIE Y TOBILLO	72706 	NULL
2927	CONJUNTIVITIS INCLUSION POR VIRUS Y CHLAMYDIA	0770  	NULL
2928	FETO Y NEONATO AFECTADO POR PARTO CON FORCEPS	7632  	NULL
2929	NEOPLASIA MALIGNA LABIO	140   	NULL
2930	OLIGOHIDRAMNIOS NO ESPECIFICADO	65800 	NULL
2931	PIAN HIPERQUERATOSIS	1023  	NULL
2932	TIROTOXICOSIS	242   	NULL
2933	CISTICERCOSIS	1231  	NULL
2934	ESGUINCE COLATERAL RADIO	8410  	NULL
2935	ENANISMO NO ESPECIFICADO	2594  	NULL
2936	FALLO OVARICO OTRO	2563  	NULL
2937	SARCOSPORIDIOSIS	1365  	NULL
2938	NEOPLASIA MALIGNA COLON ANGULO HEPATICO	1530  	NULL
2939	EXAMEN ESPECIAL NEOPLASIA MALIGNA MAMA	V761  	NULL
2940	ABRASION HOMBRO Y BRAZO SIN INFECCION	9120  	NULL
2941	INFECCION POR VIRUS SNC NO POR ARTROPODO OTRA	049   	NULL
2942	BOCIO SIMPLE Y NO ESPECIFICADO	240   	NULL
2943	HERIDA HOMBRO Y BRAZO COMPLICADA	8801  	NULL
2944	LIPOMA ORGANO INTRATORACICO	2142  	NULL
2945	ESTERILIDAD FEMENINA ASOCIADA A ANOVULACION	6280  	NULL
2946	LUXACION CONGENITA CADERA	7543  	NULL
2947	LESION NO ALOPATICA ABDOMEN Y OTRA	7399  	NULL
2948	PICADURA INSECTO ANTEBRAZO Y MUÑECA CON INFECCION	9135  	NULL
2949	POLICITEMIA SECUNDARIA	2890  	NULL
2950	ENDOMETRITIS CRONICA POR GONOCOCO	09836 	NULL
2951	FIBROSIS ENDOMIOCARDICA	4250  	NULL
2952	VOMITO EXCESIVO EMBARAZO OTRO	6438  	NULL
2953	DISTROFIA HEREDITARIA CORNEA	3715  	NULL
